,Date,File Name,Experiment Type,QC?,Diff?,Cell Line,CL/CR#,Final Clone?,Passage,Gene,Protein,Fluorescent Protein,Other Label,Microscope,Objective,Dimension,MP?,Time-lapse,Exp. Details,Other,User,Path
0,2016-06-27 00:00:00,20160627_C05_001,AdditionalWorkup,No,iPSC,0.0,,,,(unedited),(unedited),(unedited),,ZSD0,20x/0.80,3D,Yes,00:05:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160627
1,2016-05-06 00:00:00,20160506_C02_002,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,63x/1.2W,2D,Yes,00:00:10,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160506
2,2016-05-06 00:00:00,20160506_C02_003,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,63x/1.2W,2D,Yes,00:00:10,95 min after 002,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160506
3,2016-10-13 00:00:00,20161013_C02_005-007,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,100x/1.25W,2D,No,00:00:30,on PDL,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161013
4,2016-05-06 00:00:00,20160506_C02_004,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,63x/1.2W,2D,Yes,00:01:00,50% laser power,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160506
5,2016-10-13 00:00:00,20161013_C02_008,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,100x/1.25W,2D,No,00:01:00,on PDL,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161013
6,2016-05-06 00:00:00,20160506_C02_001,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,63x/1.2W,2D,Yes,00:05:00,,"BAD! (focus problems, etc.)",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160506
7,2016-06-10 00:00:00,20160610_C04_001,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,20x/0.80,3D,No,00:05:00,,"only barely ok, very dim",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160610
8,2016-06-10 00:00:00,20160610_C09_001,Screen-Clones,Yes,iPSC,5.0,50,Yes,,PXN,paxillin,EGFP,,ZSD0,100x/1.25W,3D,No,00:05:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160610
9,2016-06-01 00:00:00,20160601_C01_011,Screen-Clones,Yes,iPSC,5.0,52,,,PXN,paxillin,EGFP,,ZSD0,100x/1.25W,2D,Yes,00:01:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160601
10,2016-10-11 00:00:00,20161011_C04_001,Screen-Clones,Yes,iPSC,10.0,55,Yes,,SEC61B,sec61,mEGFP,,ZSD0,100x/1.25W,3D,No,00:04:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161011
11,2016-11-11 00:00:00,20161011_C05_001 (mislabeled),Screen-Clones,Yes,iPSC,11.0,27,Yes,,TOMM20,TOM20,mEGFP,,ZSD0,100x/1.25W,3D,Yes,00:03:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161111
12,2016-11-18 00:00:00,20161118_C01_002-003,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM20,TOM20,mEGFP,,ZSD0,100x/1.25W,2D,No,00:00:01.420000,continuous (1.42s time interval),,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
13,2016-11-18 00:00:00,20161118_C01_001,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM20,TOM20,mEGFP,,ZSD0,100x/1.25W,2D,No,00:00:02,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
14,2016-11-18 00:00:00,20161118_C01_004,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM21,TOM21,mEGFP,,ZSD0,100x/1.25W,3D,No,00:00:09.500000,continuous (9.5s time interval),,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
15,2016-11-18 00:00:00,20161118_C01_012-015,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM21,TOM21,mEGFP,,ZSD0,100x/1.25W,3D,No,00:01:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
16,2016-11-18 00:00:00,20161118_C01_005-008,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM21,TOM21,mEGFP,,ZSD0,100x/1.25W,3D,No,00:03:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
17,2016-11-18 00:00:00,20161118_C01_009-011,Screen-MixedPop,Yes,iPSC,11.0,27,Yes,,TOMM21,TOM21,mEGFP,,ZSD0,100x/1.25W,3D,No,00:05:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
18,2016-11-18 00:00:00,20161118_C02_001.czi,,,iPSC,24.0,,,,,,,,ZSD0,20x/0.80,3D,Yes,Yes,5 min intervals,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
19,2016-08-09 00:00:00,20160809_C01_004,Screen-Clones,Yes,iPSC,12.0,103,,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,2D,No,00:00:01,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160809
20,2016-08-09 00:00:00,20160809_C01_001-006,Screen-Clones,Yes,iPSC,12.0,103,,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,2D,No,00:00:10,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160809
21,2016-08-05 00:00:00,20160805_C05_001,Screen-Clones,Yes,iPSC,12.0,103,,,TUBA1B,tubulin,mEGFP,,ZSD0,20x/0.80,3D,Yes,00:04:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160805
22,2016-08-09 00:00:00,20160809_C02_001-003,Screen-Clones,Yes,iPSC,12.0,105,Yes,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,2D,No,00:00:10,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160809
23,2016-10-14 00:00:00,20161014_C01_001,Screen-Clones,Yes,iPSC,12.0,105,Yes,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,2D,No,00:01:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161014
24,2016-08-09 00:00:00,20160809_C02_004,Screen-Clones,Yes,iPSC,12.0,105,Yes,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,3D,Yes,00:04:00,,barely ok…beaches quickly,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160809
25,2016-10-18 00:00:00,20161018_C03_001,Screen-Clones,Yes,iPSC,12.0,105,Yes,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,3D,Yes,00:04:00,,"nice spindle, divides",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161018
26,2016-08-16 00:00:00,20160806_C02_001 (mislabeled),Screen-Clones,Yes,iPSC,12.0,105,Yes,,TUBA1B,tubulin,mEGFP,,ZSD0,100x/1.25W,3D,Yes,00:15:00,,"nice spindle, divides",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20160816
27,2016-10-13 00:00:00,20161013_C01_001,Screen-Clones,Yes,iPSC,17.0,65,Yes,,DSP,desmoplakin,mEGFP,,ZSD0,100x/1.25W,2D,No,00:04:00,on PDL,"BAD, focal drift!",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161013
28,2016-10-13 00:00:00,20161013_C03_001,Screen-Clones,Yes,iPSC,17.0,65,Yes,,DSP,desmoplakin,mEGFP,,ZSD0,20x/0.80,3D,Yes,00:04:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161013
29,2016-10-17 00:00:00,20161017_C04_003,Screen-Clones,Yes,iPSC,20.0,"""86""",,,VIM,vimentin,mEGFP,,ZSD0,20x/0.80,3D,Yes,00:04:00,,Suspect that 86 is not actually clonal,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161017
30,2016-11-18 00:00:00,20161118_C02_001,Screen-Clones,Yes,iPSC,24.0,3,,,MYH10,myosin 2B,mEGFP,,ZSD0,20x/0.80,3D,Yes,00:05:00,,,CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161118
31,2016-11-08 00:00:00,20161108_C03_001,AdditionalWorkup,No,iPSC,32.0,CR1,,,CETN2,centrin 2,mTagRFPT,DAPI,ZSD0,100x/1.25W,3D,Yes,00:06:14,,"BAD! Only 1st time point is meaningful, cells bleb by 2nd time point",CCH,/allen/aics/assay-dev/MicroscopyData/Caroline/2016/20161108
